Speaker	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
25_aiz	cecca	u	monophthong	g	kedamta	daha	zel	skola	garec	velar	kem	0	0	I	velar	magazin	aryana	azel	n.a.	len	I	cuca	av	suffix	taver	ida	n.a.	n.a.	metla	kamaya	velar	baxta	i	biyya	xayer	u	cu	lena	i	talu	u	ux	bubla	al	velar	u	I	e	t	0	amer	cu	naviyya	0	0	n.a.	dares	le	xda	present	t	aya	yames	s	brune	axnax	n.a.
26_bji	cecca	u	monophthong	g	kedamta	daha	zel	madrasa	n.a.	n.a.	kem	0	cop	II	velar	duccana	aryana	azel	l	len	I	cuca	o	suffix	samet	ida	u	v	n.a.	kamaya	velar	baxta	n.a.	biyya	xayer	u	cu	lena	i	kalu	ev	un	varda	al	velar	u	I	e	t	0	amer	cu	naviyya	0	0	eni	sare	le	xda	present	t	aya	yames	s	brunvate	axnan	e
27_ed	cecca	u	diphthong	g	kedamta	daha	zel	madrasa	garec	velar	kem	0	0	I	velar	duccana	mutra	ate	n.a.	n.a.	I	alula	av	suffix	taver	ida	u	v	mettelta	n.a.	velar	baxta	n.a.	biyya	xayer	u	cu	lena	e	tel	u	n.a.	varda	al	velar	u	I	e	t	0	amer	cu	naviyya	be	0	n.a.	sare	le	xda	present	t	aya	mase	s	bnune	axnan	n.a.
28_iju	brata	uy	monophthong	c	kedamta	yemma	xes	madrasa	gar	palatal	kem	0	0	I	affricate	duccana	mutra	ate	n.a.	lena	II	alula	o	suffix	samet	ida	u	v	mettelta	kamta	affricate	baxtay	ci	beta	gasek	uy	hec	len	i	katu	ev	un	varda	al	palatal	u	II	e	0	0	tane	hec	nata	0	y	eni	sare	lun	xa	present	0	atya	n.a.	s	brunvate	axnan	e
29_ena	cecca	u	monophthong	g	kedamta	daha	zel	uskol	garet	palatal	kem	0	cop	I	velar	magazin	aryana	ate	l	len	I	cuca	av	suffix	taver	ida	u	v	metla	kamaya	velar	baxta	i	biyya	xayer	u	cu	lena	i	kalu	u	ux	bubla	ris	velar	u	I	e	t	0	amer	cu	naviyya	0	0	n.a.	sare	le	xda	present	t	aya	yames	s	brunvate	axnan	i
30_sj	brata	u	diphthong	g	kedamta	yemma	zel	madrasa	garec	velar	kem	0	n.a.	II	n.a.	duccana	mutra	n.a.	l	lena	n.a.	alula	o	suffix	taver	ida	a	v	metla	kamta	velar	baxtaye	i	beta	n.a.	u	cu	len	i	katu	u	n.a.	varda	al	velar	u	I	e	0	0	tane	cu	naviyya	be	0	an	sare	le	xa	present	t	aya	yames	s	bnune	axtan	i
31_sjm	cecca	u	diphthong	g	kedamta	yemma	xes	uskol	n.a.	n.a.	kam	0	cop	II	affricate	magazin	mutra	ate	l	n.a.	n.a.	alula	o	suffix	samet	ida	a	v	n.a.	kamta	affricate	baxta	n.a.	beta	xazze	u	cu	lena	i	kalu	u	n.a.	bubla	al	velar	u	n.a.	e	n.a.	n.a.	amer	cu	nata	0	0	an	sare	le	xda	present	t	aya	yames	s	brune	axnax	n.a.
32_vvi	brata	uy	monophthong	c	kedamta	yemma	xes	madrasa	garec	affricate	kam	0	cop	I	affricate	n.a.	mutra	ate	l	lena	II	n.a.	o	suffix	samet	ida	a	y	mettelta	kamta	affricate	baxtaye	n.a.	beta	gasek	uy	n.a.	len	a	katu	ev	un	varda	al	affricate	u	II	e	0	0	tane	hec	nata	0	y	eni	sare	lun	xa	progressive	0	atya	n.a.	s	bnune	axnan	n.a.
33_vst	brata	uy	monophthong	g	morsa	mama	xes	uskol	n.a.	n.a.	kam	0	cop	I	n.a.	magazin	mutra	ate	0	lena	II	cuca	o	suffix	n.a.	n.a.	a	v	mettelta	kamta	affricate	baxtay	ci	n.a.	pacer	uy	hec	len	a	katu	ev	un	varda	al	affricate	av	II	e	0	0	tane	hec	nata	0	y	eni	sare	n.a.	xa	progressive	n.a.	n.a.	cames	s	bnune	axnan	e
34_fna	cecca	u	monophthong	c	morsa	daha	zel	uskol	garec	affricate	kem	ni	cop	I	affricate	kooperativ	aryana	azel	0	len	I	cuca	av	suffix	samet	ida	u	v	mettelta	kamaya	velar	baxta	i	biyya	pacer	u	hec	lena	i	tel	ev	un	varda	al	affricate	av	I	e	0	0	tane	hec	naviyya	0	0	n.a.	sare	le	xda	progressive	t	aya	yames	s	brunvate	axnan	e
35_ioa	cecca	u	monophthong	c	morsa	daha	zel	uskol	gar	affricate	kem	ni	cop	I	velar	kooperativ	aryana	azel	0	len	I	cuca	av	suffix	samet	ida	u	v	mettelta	kamaya	velar	baxta	i	biyya	xazze	u	hec	lena	i	tel	ev	un	varda	al	affricate	av	I	e	0	ni	tane	hec	naviyya	0	0	eni	sare	le	xda	progressive	t	aya	yames	s	bnune	axnan	e
36_evt	brata	u	monophthong	c	morsa	mama	xes	uskol	garec	affricate	kam	0	0	I	velar	magazin	mutra	ate	0	lena	II	cuca	o	suffix	samet	ida	a	v	mettelta	kamta	affricate	baxtay	ci	beta	pacer	uy	hec	len	a	katu	ev	ux	varda	al	affricate	av	II	e	0	0	tane	hec	nata	0	y	eni	sare	le	xa	progressive	0	atya	cames	s	bnune	axnan	e
37_znm	cecca	u	monophthong	c	morsa	daha	zel	uskol	garec	affricate	kem	ni	cop	I	velar	kooperativ	aryana	rayye	0	len	I	cuca	av	suffix	samet	drana	u	v	mettelta	kamaya	velar	baxta	i	biyya	pacer	u	hec	lena	i	talu	ev	un	varda	al	affricate	av	I	e	0	0	tane	hec	naviyya	0	0	eni	sare	le	xda	progressive	t	aya	yames	s	bnune	axnan	e
38_agg2	cecca	u	monophthong	c	morsa	mama	zel	uskol	gar	affricate	kem	ni	0	I	affricate	kooperativ	aryana	rayye	0	len	II	cuca	av	suffix	samet	ida	u	v	mettelta	kamaya	velar	baxta	i	biyya	xazze	u	hec	lena	i	tel	ev	un	varda	al	affricate	av	II	e	0	ni	tane	hec	naviyya	0	0	eni	sare	le	xda	progressive	t	aya	yames	s	bnune	axnan	e
